Key,User,Timestamp,Reports Qualifier,Event,Team Number,Team Name,Focus Hight,Drive Train,Width,Buddy Climb,Preload type,Gamepeice Prefrence,Vision,Picture,One-Word,Notes,Lookup Name Ref
f6746cf9,abc@gmail.com,12/30/1899 9:00:20,2023misjo-6642,2023misjo,6642,stingers of steel,High,Swerve,,,Neither,Neither,Neither,Pit Scouting_Images/f6746cf9.Picture.141751.jpg,Fast,,
c1d8d52a,abc@gmail.com,12/30/1899 9:08:40,2023misjo-5927,2023misjo,5927,Globe Trotters,High,Swerve,,,Cone,Cone ,Camera,Pit Scouting_Images/c1d8d52a.Picture.142115.jpg,Derrabe,,
4f410df4,abc@gmail.com,12/30/1899 9:13:07,2023misjo-6588,2023misjo,6588,Counter Torque Robotics,Middle,Tank,,,Neither,Cone ,Neither,Pit Scouting_Images/4f410df4.Picture.142202.jpg,Defensive,None,
041dcee3,abc@gmail.com,12/30/1899 9:21:56,2023misjo-94,2023misjo,94,RetroJays,High,Tank,,,Cone,Cone ,Neither,Pit Scouting_Images/041dcee3.Picture.143439.jpg,Fast,,
dd31cfbd,abc@gmail.com,12/30/1899 9:26:45,2023misjo-7210,2023misjo,7210,Robo jackets,Middle,Tank,,,Cube,Neither,Neither,Pit Scouting_Images/dd31cfbd.Picture.143650.jpg,Diverse,,
d443c146,abc@gmail.com,12/30/1899 9:26:47,2023misjo-7814,2023misjo,7814,Gearheads,Middle,Tank,,,Cone,Cube,Neither,Pit Scouting_Images/d443c146.Picture.143816.jpg,Wild,None,
72695406,abc@gmail.com,12/30/1899 9:42:26,2023misjo-2767,2023misjo,2767,Stryke Force,High,Swerve,,,Cone,Neither,Neither,Pit Scouting_Images/72695406.Picture.144351.jpg,Fast,,
4077a035,abc@gmail.com,12/30/1899 13:29:33,2023misjo-5675,2023misjo,5675,WiredCats,High,Swerve,36,,No Preference ,Cube,Lime-Light,,Ours,,2023misjo: frc5675
dab2ce97,abc@gmail.com,12/30/1899 17:25:09,2023milak-7811,2023milak,7811,Flamin' Hot Tigers,High,Tank,24,,Cone,Cone ,Neither,Pit Scouting_Images/dab2ce97.Picture.213014.jpg,Zipties,50 pounds attached to the robot for weight,2023milak: frc7811
060ca4d7,abc@gmail.com,12/30/1899 17:26:25,2023milak-6002,2023milak,6002,ZooBOTix,High,Swerve,29,,Cone,Cube,Neither,Pit Scouting_Images/060ca4d7.Picture.213131.jpg,Frankenstein,Fast,2023milak: frc6002
5b456113,abc@gmail.com,12/30/1899 17:30:47,2023milak-8608,2023milak,8608,Alpha Bots,High,Swerve,32.5,,Cone,Cube,Both,Pit Scouting_Images/5b456113.Picture.213315.jpg,Tabk,They have a lasso,2023milak: frc8608
ca852c19,abc@gmail.com,12/30/1899 17:28:05,2023milak-9208,2023milak,9208,Eddies Circuit,High,Tank,28.75,,Cube,Neither,Camera,Pit Scouting_Images/ca852c19.Picture.213413.jpg,Reliable,"- Pneumatic break so robot stops at the end of the match
- Strategy: one link on top, then focus on bottom
- Drops cubes through chute to score at bottom",2023milak: frc9208
63cd02d2,abc@gmail.com,12/30/1899 17:34:39,2023milak-5676,2023milak,5676,Heroes,High,Swerve,30,,Cone,Cone ,Camera,Pit Scouting_Images/63cd02d2.Picture.213748.jpg,Swervo,Cone only,2023milak: frc5676
242a7bdf,abc@gmail.com,12/30/1899 17:33:46,2023milak-9215,2023milak,9215,T-Town tech,Middle,Tank,22,,No Preference ,Neither,Neither,Pit Scouting_Images/242a7bdf.Picture.213809.jpg,Improvised,Jack shaft drive system,2023milak: frc9215
650d7e70,abc@gmail.com,12/30/1899 17:38:17,2023milak-9312,2023milak,9312,NERD Spark,Middle,Swerve,35,,Cone,Cone ,Lime-Light,Pit Scouting_Images/650d7e70.Picture.214050.jpg,Fast,Uses the Shute,2023milak: frc9312
81a8a18e,abc@gmail.com,12/30/1899 17:41:03,2023milak-7197,2023milak,7197,Mountie MegaBots,High,Swerve,34,,Cone,Neither,Camera,Pit Scouting_Images/81a8a18e.Picture.214345.jpg,Yes,His name is Wayne,2023milak: frc7197
dacdd916,abc@gmail.com,12/30/1899 17:41:40,2023milak-7658,2023milak,7658,MagiTech,Middle,Swerve,35,,Cube,Cube,Camera,Pit Scouting_Images/dacdd916.Picture.214544.jpg,Righteous!,Cannot do high cones,2023milak: frc7658
fe43900e,abc@gmail.com,12/30/1899 17:42:32,2023milak-1481,2023milak,1481,The Riveters,High,Swerve,30,,Cone,Neither,Both,Pit Scouting_Images/fe43900e.Picture.214601.jpg,Reliable,,2023milak: frc1481
700a5106,abc@gmail.com,12/30/1899 17:42:54,2023milak-1504,2023milak,1504,The Desperate,High,Mecanum,26,,Cube,Cone ,Lime-Light,Pit Scouting_Images/700a5106.Picture.214622.jpg,Penguin,,2023milak: frc1504
a9abb572,abc@gmail.com,12/30/1899 17:44:44,2023milak-7203,2023milak,7203,21st Century Cyber Bearcats,None,Tank,30,,Cone,Cone ,Camera,Pit Scouting_Images/a9abb572.Picture.214822.jpg,Idk,360 rotating arm,2023milak: frc7203
dbe8eeb9,abc@gmail.com,12/30/1899 17:46:16,2023milak-4453,2023milak,4453,The Red Hot Chili Bots,None,Tank,34,,Cone,Neither,Lime-Light,Pit Scouting_Images/dbe8eeb9.Picture.215049.jpg,Slick,"Can place on every node autonomously
Heavy so good defense (124.8 lb)",2023milak: frc4453
d0c94b7a,abc@gmail.com,12/30/1899 17:49:23,2023milak-5256,2023milak,5256,Atomics,High,Swerve,33,,Cube,Cube,Camera,Pit Scouting_Images/d0c94b7a.Picture.215235.jpg,Durable,Pretty fast,2023milak: frc5256
f224452c,abc@gmail.com,12/30/1899 17:50:05,2023milak-1684,2023milak,1684,The Chimeras,None,Swerve,32,,Cone,Cone ,Lime-Light,Pit Scouting_Images/f224452c.Picture.215409.jpg,Fast,,2023milak: frc1684
776b69c2,abc@gmail.com,12/30/1899 17:53:27,2023milak-9278,2023milak,9278,Megatrons,Middle,Tank,33,,Cone,Cone ,Camera,Pit Scouting_Images/776b69c2.Picture.215701.jpg,Cool,Claw stays level the whole time,2023milak: frc9278
3f21f275,abc@gmail.com,12/30/1899 17:54:44,2023milak-4327,2023milak,4327,Q Branch,High,Swerve,34,,Cube,Cube,Neither,Pit Scouting_Images/3f21f275.Picture.215719.jpg,Walkavator,Balance in auton,2023milak: frc4327
9bde0a59,abc@gmail.com,12/30/1899 17:53:51,2023milak-5152,2023milak,5152,Alotobots,High,Swerve,29,,Cube,Cone ,Camera,Pit Scouting_Images/9bde0a59.Picture.215954.jpg,Efficient,"Good auto, Lots of auto programs, Start from every pos (left, mid, right) in auto, Arm can flip all the way backwards",2023milak: frc5152
bf571ab9,abc@gmail.com,12/30/1899 17:58:07,2023milak-244,2023milak,244,RoboDawgs 3D,Low,Tank,30,,Cube,Cone ,Neither,Pit Scouting_Images/bf571ab9.Picture.220007.jpg,Efficient,,2023milak: frc244
ddbd8ecd,abc@gmail.com,12/30/1899 18:00:12,2023milak-2611,2023milak,2611,Jacktown Vectors,High,Tank,32,,Cube,Neither,Both,Pit Scouting_Images/ddbd8ecd.Picture.220341.jpg,Hourmeter,"- Auto balance with only half on station (for more space) 
- Bottom heavy",2023milak: frc2611
735ecfd4,abc@gmail.com,12/30/1899 18:01:23,2023milak-830,2023milak,830,The RatPack,None,Swerve,30,,No Preference ,Neither,Neither,Pit Scouting_Images/735ecfd4.Picture.220437.jpg,Efficient,,2023milak: frc830
6558f74a,abc@gmail.com,12/30/1899 18:04:53,2023milak-288,2023milak,288,The RoboDawgs,Middle,Tank,24,,Cone,Neither,Camera,Pit Scouting_Images/6558f74a.Picture.220655.jpg,Brand-new,,2023milak: frc288
0d1f8928,abc@gmail.com,12/30/1899 18:12:01,2023milak-3658,2023milak,3658,Robo Beacers,Middle,Tank,32,,Cube,Cube,Camera,Pit Scouting_Images/0d1f8928.Picture.221414.jpg,Speed,Auto is good,2023milak: frc3658
4ec7e93f,abc@gmail.com,12/30/1899 18:15:43,2023milak-216,2023milak,216,More RoboDawgs,Middle,Tank,26,,Cube,Cube,Lime-Light,Pit Scouting_Images/4ec7e93f.Picture.221745.jpg,Gaming,None,2023milak: frc216
49b80816,abc@gmail.com,12/30/1899 18:18:48,2023milak-5501,2023milak,5501,Bobcats,High,Tank,35,,Cube,Neither,Camera,Pit Scouting_Images/49b80816.Picture.222029.jpg,Simple,It’s name is bounty,2023milak: frc5501
7ea8a699,abc@gmail.com,12/30/1899 18:20:17,2023milak-7226,2023milak,7226,Error 404,None,Tank,33,,Cone,Neither,Lime-Light,Pit Scouting_Images/7ea8a699.Picture.222355.jpg,Purple,"Limelight is going to be equipped, not at the point(Named Ezra)",2023milak: frc7226
a2814a93,abc@gmail.com,12/30/1899 18:27:26,2023milak-5067,2023milak,5067,Steiner Steel Storm,High,Tank,28,,No Preference ,Neither,Camera,Pit Scouting_Images/a2814a93.Picture.222946.jpg,Fun,,2023milak: frc5067
7d83f1f3,abc@gmail.com,12/30/1899 19:15:15,2023milak-7491,2023milak,7491,Cyber Soldiers,High,Swerve,30,,No Preference ,Neither,Camera,Pit Scouting_Images/7d83f1f3.Picture.232345.jpg,Reliable,"Dock, All human stations can be used, Lock wheelz, 78 pounds, Really good at defense, Quick at balancing",2023milak: frc7491
ed6fb556,abc@gmail.com,12/30/1899 7:52:57,2023milak-5235,2023milak,5235,Gears of Fortune,Low,Swerve,,Cube,Cube,Neither,Pit Scouting_Images/ed6fb556.Picture.115433.jpg,N/A,Fast,,
d2fc74ab,abc@gmail.com,12/30/1899 7:52:06,2023milak-3302,2023milak,3302,Clawson Trojans,Middle,Swerve,24,,No Preference ,Neither,Camera,Pit Scouting_Images/d2fc74ab.Picture.115522.jpg,Coop,,2023milak: frc3302
0c4671e7,abc@gmail.com,12/30/1899 7:48:55,2023milak-6588,2023milak,6588,Counter-Torque Robotics,Middle,Tank,0,,Cone,Cone ,Camera,Pit Scouting_Images/0c4671e7.Picture.115545.jpg,Cool,,2023milak: frc6588
827b9d4a,abc@gmail.com,12/30/1899 7:50:32,2023milak-9227,2023milak,9227,Gladwin Robotics,Low,Tank,,Cube,Cube,Camera,Pit Scouting_Images/827b9d4a.Picture.115808.jpg,,Robust,,
27dc330c,abc@gmail.com,12/30/1899 7:57:48,2023milak-4998,2023milak,4998,TESLA,High,Mecanum,24,,Cube,Neither,Both,Pit Scouting_Images/27dc330c.Picture.120044.jpg,Tank,"Robust, Good for tipped cones, Can pick up stuck cones",2023milak: frc4998
96321a52,abc@gmail.com,12/30/1899 7:55:38,2023milak-4810,2023milak,4810,I AM Robot,Middle,Swerve,26,,Cone,Cone ,Camera,Pit Scouting_Images/96321a52.Picture.120125.jpg,Intresting,,2023milak: frc4810
863383cc,abc@gmail.com,12/30/1899 8:01:25,2023milak-7256,2023milak,7256,Irish Robotics,Middle,Tank,33,,Cube,Cube,Lime-Light,Pit Scouting_Images/863383cc.Picture.121833.jpg,Functional,,2023milak: frc7256
c7cba5e6,abc@gmail.com,12/30/1899 8:01:20,2023milak-9238,2023milak,9238,Jaybots,Low,Swerve,35,,Cube,Cube,Neither,Pit Scouting_Images/c7cba5e6.Picture.122742.jpg,Working,,2023milak: frc9238
2386012f,abc@gmail.com,12/30/1899 11:07:34,2023micmp2-7054,2023micmp2,7054,SC Sailors,High,Swerve,32,,Cube,Neither,Lime-Light,Pit Scouting_Images/2386012f.Picture.151101.jpg,Carbon,,2023micmp: frc7054
6b1eb72d,abc@gmail.com,12/30/1899 11:05:42,2023micmp2-7220,2023micmp2,7220,Steel falcons,High,Swerve,32,,No Preference ,Cone ,Lime-Light,Pit Scouting_Images/6b1eb72d.Picture.151634.jpg,Hefty,Arm can turn to opposite side,2023micmp: frc7220
3b5a787a,abc@gmail.com,12/30/1899 11:08:27,2023micmp2-6081,2023micmp2,6081,Didgital doslocatorz,High,Swerve,29.5,,Cone,Cube,Lime-Light,Pit Scouting_Images/3b5a787a.Picture.151644.jpg,Fast,Good auto,2023micmp: frc6081
8afe4841,abc@gmail.com,12/30/1899 11:11:56,2023micmp2-5612,2023micmp2,5612,Robo raptors,High,Swerve,30,,Cube,Cube,Camera,Pit Scouting_Images/8afe4841.Picture.151701.jpg,Defence,None,2023micmp: frc5612
1e6d1a55,abc@gmail.com,12/30/1899 11:11:26,2023micmp2-5535,2023micmp2,5535,Bionic Bison,None,Swerve,37,,Cube,Cube,Lime-Light,Pit Scouting_Images/1e6d1a55.Picture.151817.jpg,Special,"Only cubes but really good
100% auto accuracy (2 piece cube auto)",2023micmp: frc5535
efb09ec8,abc@gmail.com,12/30/1899 11:17:14,2023micmp2-5436,2023micmp2,5436,Cybercats,High,Swerve,32.5,,Cone,Cone ,Lime-Light,Pit Scouting_Images/efb09ec8.Picture.152219.jpg,Consistant,Balance in auto,2023micmp: frc5436
afc32476,abc@gmail.com,12/30/1899 11:19:36,2023micmp2-4779,2023micmp2,4779,Robosapiens,High,Swerve,30,,No Preference ,Cone ,Both,Pit Scouting_Images/afc32476.Picture.152224.jpg,Versitile,35 lbs metal slab to prevent tipping,2023micmp: frc4779
b31fe380,abc@gmail.com,12/30/1899 11:18:44,2023micmp2-5114,2023micmp2,5114,Fenton Robotics,High,Swerve,31,,Cone,Cone ,Lime-Light,Pit Scouting_Images/b31fe380.Picture.152451.jpg,SpinnySliderSlippy(ICouldntPutSpacesInBetween),"Fast
Triple climb optimized size
Cones and cubes are both possible, shelf is fast",2023micmp: frc5114
c1204868,abc@gmail.com,12/30/1899 11:25:16,2023micmp2-4392,2023micmp2,4392,Deceivers Robotics,High,Swerve,36,,Cone,Neither,Neither,Pit Scouting_Images/c1204868.Picture.152920.jpg,Rambunctious,"Outgoing
3 piece auto
Human player shelf",2023micmp: frc4392
9e8b2f80,abc@gmail.com,12/30/1899 11:03:59,2023micmp2-3414,2023micmp2,3414,Hackbots,High,Swerve,31,,Cone,Neither,Lime-Light,Pit Scouting_Images/9e8b2f80.Picture.161011.jpg,Reliable,Can hang off edge of charge station,2023micmp: frc3414
51f020e7,abc@gmail.com,12/30/1899 11:08:11,2023micmp2-6512,2023micmp2,6512,Robo falcons,High,Tank,28,,No Preference ,Neither,Camera,Pit Scouting_Images/51f020e7.Picture.161018.jpg,Da_Best,,2023micmp: frc6512
67bd94fd,abc@gmail.com,12/30/1899 11:11:42,2023micmp2-5843,2023micmp2,5843,Flurb,None,Swerve,28,,Cone,Neither,Camera,Pit Scouting_Images/67bd94fd.Picture.161026.jpg,Googly-eyes,,2023micmp: frc5843
14d7520b,abc@gmail.com,12/30/1899 11:14:52,2023micmp2-5675,2023micmp2,5675,Wiredcats,High,Swerve,36.5,,Cone,Cube,Both,Pit Scouting_Images/14d7520b.Picture.161033.jpg,Awesome,,2023micmp: frc5675
54e02b2f,abc@gmail.com,12/30/1899 11:23:12,2023micmp2-4405,2023micmp2,4405,Thr atoms family,High,Swerve,31,,No Preference ,Cone ,Both,Pit Scouting_Images/54e02b2f.Picture.161443.jpg,No,None,2023micmp: frc4405
8f42f2a2,abc@gmail.com,4/6/2023 12:17:42,2023micmp2-4776,2023micmp2,4776,S.C.O.T.S. Bots,High,Swerve,32,,Cone,Neither,Lime-Light,Pit Scouting_Images/8f42f2a2.Picture.162338.jpg,Scorpion,,2023micmp2: frc4776
a8852a82,abc@gmail.com,4/6/2023 12:20:06,2023micmp2-4381,2023micmp2,4381,Twisted Devils,High,Swerve,35,,Cone,Neither,Lime-Light,Pit Scouting_Images/a8852a82.Picture.162346.jpg,Fast,Her name is midnight,2023micmp2: frc4381
09fdf1c9,abc@gmail.com,4/6/2023 12:17:20,2023micmp2-27,2023micmp2,27,Team RUSH,High,Swerve,26,,Cone,Cube,Both,Pit Scouting_Images/09fdf1c9.Picture.162518.jpg,Tenacious,Buddy climb system,2023micmp2: frc27
1ba3d4bc,abc@gmail.com,4/6/2023 12:21:43,2023micmp2-3098,2023micmp2,3098,Waterford Robotics,Middle,Tank,31.5,,Cube,Neither,Camera,Pit Scouting_Images/1ba3d4bc.Picture.162520.jpg,Strong,,2023micmp2: frc3098
59b2ad53,abc@gmail.com,4/6/2023 12:19:16,2023micmp2-857,2023micmp2,857,Superior Roboworks,High,Swerve,27,,Cone,Neither,Lime-Light,Pit Scouting_Images/59b2ad53.Picture.162523.jpg,Sturdy,None,2023micmp2: frc857
76f60c39,abc@gmail.com,4/6/2023 12:21:41,2023micmp2-1711,2023micmp2,1711,RAPTORS,High,Swerve,35.5,,Cube,Cube,Both,Pit Scouting_Images/76f60c39.Picture.162528.jpg,Fun,None,2023micmp2: frc1711
4f85178d,abc@gmail.com,4/6/2023 12:41:16,2023micmp2-1506,2023micmp2,1506,Metal Muscle,High,Swerve,29,,Cone,Neither,Neither,Pit Scouting_Images/4f85178d.Picture.164811.jpg,Fast,,2023micmp2: frc1506
b7853da2,abc@gmail.com,4/6/2023 12:48:27,2023micmp2-85,2023micmp2,85,B.O.B. (Built on Brains),High,Swerve,25,,No Preference ,Cube,Lime-Light,Pit Scouting_Images/b7853da2.Picture.165132.jpg,adaptable,,2023micmp2: frc85
11f0d6e0,abc@gmail.com,4/6/2023 12:51:54,2023micmp2-3538,2023micmp2,3538,RoboJackets,High,Swerve,24,,Cone,Cone ,Lime-Light,Pit Scouting_Images/11f0d6e0.Picture.165728.jpg,Fast,,2023micmp2: frc3538
ccc5a089,abc@gmail.com,4/6/2023 13:39:27,2023micmp2-3668,2023micmp2,3668,Trobots,High,Mecanum,33,,Cone,Cone ,Lime-Light,Pit Scouting_Images/ccc5a089.Picture.174152.jpg,Durable,"Ground intake, uses single subtantion",2023micmp2: frc3668
f7950ac1,abc@gmail.com,4/6/2023 13:39:45,2023micmp2-4391,2023micmp2,4391,BraveBots,High,Swerve,30,,No Preference ,Neither,Both,Pit Scouting_Images/f7950ac1.Picture.174306.jpg,Fast,"Very versatile
Master of not quite anything but not there
Defence good (if necessary) 
Maneuverable
Auto placing",2023micmp2: frc4391
31859ab1,abc@gmail.com,4/6/2023 13:43:55,2023micmp2-217,2023micmp2,217,Thunderchickens,High,Swerve,30,,Cube,Cone ,Camera,Pit Scouting_Images/31859ab1.Picture.174609.jpg,Bottom,Super bottom heavy,2023micmp2: frc217
7b516c19,abc@gmail.com,4/6/2023 13:41:01,2023micmp2-3536,2023micmp2,3536,Electro Eagles,None,Swerve,34.5,,No Preference ,Neither,Camera,Pit Scouting_Images/7b516c19.Picture.174612.jpg,Black,Score fast,2023micmp2: frc3536
608be88f,abc@gmail.com,4/6/2023 13:43:18,2023micmp2-3534,2023micmp2,3534,House of Cards,None,Swerve,32,,Cone,Neither,Neither,Pit Scouting_Images/608be88f.Picture.174618.jpg,AAAA,,2023micmp2: frc3534
2ab2c17e,abc@gmail.com,4/6/2023 13:46:27,2023micmp2-2054,2023micmp2,2054,Tech Vikes,None,Swerve,35,,No Preference ,Neither,Lime-Light,Pit Scouting_Images/2ab2c17e.Picture.175034.jpg,Fast,Can drive off side of charge station,2023micmp2: frc2054
d9320356,abc@gmail.com,4/6/2023 14:44:09,2023micmp2-7056,2023micmp2,7056,The F.A.S.T. Team - Fowlerville Area Scientific Technicians,High,Swerve,29,,Cone,Neither,Lime-Light,Pit Scouting_Images/d9320356.Picture.184704.jpg,Light,Really light,2023micmp2: frc7056
a2a142f5,abc@gmail.com,4/6/2023 15:47:50,2023micmp2-4004,2023micmp2,4004,M.A.R.S. Rovers,High,Swerve,36,,Cube,Neither,Camera,Pit Scouting_Images/a2a142f5.Picture.195031.jpg,Effective,Button bored,2023micmp2: frc4004
18d8632c,abc@gmail.com,4/6/2023 15:54:04,2023micmp2-7790,2023micmp2,7790,Baywatch Robotics,None,Swerve,36,,Cube,Neither,Lime-Light,Pit Scouting_Images/18d8632c.Picture.200105.jpg,Beast,"- 124.5 lbs
- Both pieces are possible thanks to auto
Triple-balance lock wheels
- 85% automated (including auto piece detection, April Tag detection, etc.)",2023micmp2: frc7790
b2fd0e0e,abc@gmail.com,4/6/2023 16:00:23,2023micmp2-3539,2023micmp2,3539,Byting Bulldogs,High,Swerve,34,,Cone,Neither,Neither,Pit Scouting_Images/b2fd0e0e.Picture.200509.jpg,Modular,,2023micmp2: frc3539
d1a10ae0,abc@gmail.com,4/6/2023 16:05:00,2023micmp2-68,2023micmp2,68,Truck Town Thunder,None,Swerve,26.25,,Cone,Cube,Lime-Light,Pit Scouting_Images/d1a10ae0.Picture.201004.jpg,Screech,,2023micmp2: frc68
